name,date,startTime,endTime,venueId
Eric Prydz presents [CELL],8/26/2024,23:30,7:00,12
Amnesia Presents,8/26/2024,23:00,,8
Diplo,8/26/2024,23:59,6:00,9
David Guetta presents F*** ME I'M FAMOUS!,8/26/2024,17:00,23:00,13
Worried About Henry,8/26/2024,23:59,,2
Radio 1 Dance X Closing Party | Dance Anthems Special,8/26/2024,14:00,21:00,6
D4 D4NCE,8/26/2024,13:00,23:00,11
La Troya,8/26/2024,23:45,,3
You Know The Vibes,8/26/2024,23:45,6:00,7
Oceanbeat Ibiza Boat Party,8/26/2024,14:30,17:30,4
The Martinez Brothers,8/27/2024,23:30,7:00,12
The Masquerade by Claptone,8/27/2024,23:00,,8
CAMELPHAT,8/27/2024,23:59,6:00,9
Defected,8/27/2024,15:00,23:00,13
Outset Ibiza | PATY,8/27/2024,23:59,,2
Craig David's TS5 Pool Party,8/27/2024,14:00,21:00,6
Kisstory,8/27/2024,13:00,23:00,11
Bubbles,8/27/2024,23:45,6:00,7
Blanche Ibiza,8/27/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,8/27/2024,14:30,17:30,4
Pukka Up Sunset Boat Party,8/27/2024,18:00,21:00,5
FISHER,8/28/2024,23:30,7:00,12
Paradise,8/28/2024,22:30,6:00,8
Saga,8/28/2024,23:59,6:00,9
Tomorrowland presents Dimitri Vegas & Like Mike,8/28/2024,17:00,23:00,13
One Night Stand | S.A.S.H. X Half Baked,8/28/2024,23:59,,2
Joel Corry Pool Party,8/28/2024,14:00,21:00,6
House In Paradise,8/28/2024,13:00,23:00,11
Fuego,8/28/2024,23:45,6:00,7
Toy Room,8/28/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,8/28/2024,14:30,17:30,4
Bresh,8/29/2024,23:59,,8
Pure Pacha,8/29/2024,23:59,6:00,9
Martin Garrix,8/29/2024,17:00,23:00,13
SHINE Ibiza,8/29/2024,23:59,,2
Applebum Closing Party,8/29/2024,14:00,21:00,6
ON111,8/29/2024,13:00,23:00,11
House of Zeus,8/29/2024,23:45,6:00,7
Bâzâr by Sasson,8/29/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,8/29/2024,14:30,17:30,4
Pukka Up Sunset Boat Party,8/29/2024,18:00,21:00,5
David Guetta & MORTEN present Future Rave,8/30/2024,23:30,7:00,12
Joseph Capriati presents Metamorfosi,8/30/2024,22:30,,8
Music On,8/30/2024,23:59,7:00,9
Calvin Harris,8/30/2024,17:00,23:00,13
Space at Eden,8/30/2024,23:59,,2
Ibiza Anthems Pool Party,8/30/2024,14:00,21:00,6
Pool Party | Cinomatic,8/30/2024,13:00,23:00,11
Pablo Fierro presents We're Here,8/30/2024,23:45,,3
Storytellers,8/30/2024,19:00,5:30,18
Puro Reggaeton,8/30/2024,23:45,6:00,7
RUMORS,8/30/2024,18:00,,15
Vintage,8/30/2024,23:59,5:00,17
Children of the 80s,8/30/2024,19:00,23:59,19
Oceanbeat Ibiza Boat Party,8/30/2024,14:30,17:30,4
A Day In Paradise Boat Trip,8/30/2024,12:00,17:00,5
Black Coffee,8/31/2024,23:30,7:00,12
elrow Ibiza | Delusionville,8/31/2024,23:00,,8
Flower Power,8/31/2024,23:59,6:00,9
ANTS,8/31/2024,15:00,23:00,13
Peaches Closing Party,8/31/2024,23:59,,2
LoveJuice Pool Party,8/31/2024,14:00,21:00,6
Soul Heaven,8/31/2024,13:00,23:00,11
TRIP,8/31/2024,23:45,,3
Sacro by Mëstiza,8/31/2024,19:00,5:30,18
Fiesta del Agua,8/31/2024,23:45,6:00,7
Pandora,8/31/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,8/31/2024,14:30,17:30,4
Pukka Up Afternoon Boat Party,8/31/2024,14:00,17:00,5
Glitterbox,9/1/2024,23:30,7:00,12
Pyramid,9/1/2024,23:00,,8
Solomun +1,9/1/2024,23:59,6:00,9
Armin van Buuren,9/1/2024,17:00,23:00,13
ABODE,9/1/2024,23:59,,2
Ben Hemsley Closing Party,9/1/2024,14:00,21:00,6
Forward Motion,9/1/2024,13:00,22:00,11
Franky Wah presents SHÈN Ibiza,9/1/2024,23:45,6:00,3
Woomoon,9/1/2024,18:00,6:00,18
Dance Africa,9/1/2024,23:45,6:00,7
Palmarama,9/1/2024,18:00,,15
Travieso,9/1/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,9/1/2024,14:30,17:30,4
A Day In Paradise Boat Trip,9/1/2024,12:00,17:00,5
Eric Prydz presents [CELL],9/2/2024,23:30,7:00,12
Amnesia Presents,9/2/2024,23:00,,8
Hugel,9/2/2024,23:59,6:00,9
David Guetta presents F*** ME I'M FAMOUS!,9/2/2024,17:00,23:00,13
Worried About Henry,9/2/2024,23:59,,2
Ibiza Rocks Pool Party,9/2/2024,14:00,21:00,6
D4 D4NCE,9/2/2024,13:00,22:00,11
La Troya,9/2/2024,23:45,,3
You Know The Vibes,9/2/2024,23:45,6:00,7
Oceanbeat Ibiza Boat Party,9/2/2024,14:30,17:30,4
The Martinez Brothers,9/3/2024,23:30,7:00,12
The Masquerade by Claptone,9/3/2024,23:00,,8
CAMELPHAT,9/3/2024,23:59,6:00,9
Defected,9/3/2024,15:00,23:00,13
Outset Ibiza Closing Party,9/3/2024,23:59,,2
Craig David's TS5 Pool Party,9/3/2024,14:00,21:00,6
Kisstory,9/3/2024,13:00,22:00,11
PIV Ibiza,9/3/2024,19:00,5:30,18
Bubbles,9/3/2024,23:45,6:00,7
Blanche Ibiza,9/3/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,9/3/2024,14:30,17:30,4
Pukka Up Sunset Boat Party,9/3/2024,17:00,20:00,5
FISHER,9/4/2024,23:30,7:00,12
Paradise,9/4/2024,22:30,6:00,8
Saga,9/4/2024,23:59,6:00,9
elrow Outdoors | Dance With The Serpent,9/4/2024,17:00,23:00,13
One Night Stand,9/4/2024,23:59,,2
Joel Corry Pool Party,9/4/2024,14:00,21:00,6
House In Paradise,9/4/2024,13:00,22:00,11
Fuego,9/4/2024,23:45,6:00,7
Toy Room,9/4/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,9/4/2024,14:30,17:30,4
Bresh,9/5/2024,23:59,,8
Pure Pacha,9/5/2024,23:59,6:00,9
Martin Garrix,9/5/2024,17:00,23:00,13
SHINE Ibiza,9/5/2024,23:59,,2
ON111,9/5/2024,13:00,22:00,11
Cosmic Pineapple,9/5/2024,19:00,5:00,18
House of Zeus,9/5/2024,23:45,6:00,7
Bâzâr by Sasson,9/5/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,9/5/2024,14:30,17:30,4
Pukka Up Sunset Boat Party,9/5/2024,17:00,20:00,5
David Guetta & MORTEN present Future Rave,9/6/2024,23:30,7:00,12
Joseph Capriati presents Metamorfosi Closing Party,9/6/2024,22:30,,8
Music On,9/6/2024,23:59,7:00,9
Calvin Harris,9/6/2024,17:00,23:00,13
Space at Eden,9/6/2024,23:59,,2
Ibiza Anthems Pool Party,9/6/2024,14:00,21:00,6
Pool Party | Cinomatic,9/6/2024,13:00,22:00,11
Pablo Fierro presents We're Here,9/6/2024,23:45,,3
Storytellers,9/6/2024,19:00,5:30,18
Puro Reggaeton,9/6/2024,23:45,6:00,7
RUMORS,9/6/2024,18:00,,15
Vintage,9/6/2024,23:59,5:00,17
Children of the 80s,9/6/2024,19:00,23:59,19
Oceanbeat Ibiza Boat Party,9/6/2024,14:30,17:30,4
A Day In Paradise Boat Trip,9/6/2024,12:00,17:00,5
Black Coffee,9/7/2024,23:30,7:00,12
elrow Ibiza | El Rowcio,9/7/2024,23:00,,8
Flower Power,9/7/2024,23:59,6:00,9
ANTS,9/7/2024,15:00,23:00,13
LoveJuice Pool Party,9/7/2024,14:00,21:00,6
Soul Heaven,9/7/2024,13:00,22:00,11
TRIP,9/7/2024,23:45,,3
Fabuloso,9/7/2024,19:00,5:30,18
Fiesta del Agua,9/7/2024,23:45,6:00,7
Pandora,9/7/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,9/7/2024,14:30,17:30,4
Pukka Up Afternoon Boat Party,9/7/2024,14:00,17:00,5
Glitterbox,9/8/2024,23:30,7:00,12
Pyramid,9/8/2024,23:00,,8
Solomun +1,9/8/2024,23:59,6:00,9
Armin van Buuren,9/8/2024,17:00,23:00,13
ABODE,9/8/2024,23:59,,2
Soundcloud Presents | Double Dot Takeover,9/8/2024,14:00,21:00,6
Boat Club,9/8/2024,13:00,22:00,11
Franky Wah presents SHÈN Ibiza,9/8/2024,23:45,6:00,3
Woomoon,9/8/2024,18:00,6:00,18
Dance Africa,9/8/2024,23:45,6:00,7
Palmarama,9/8/2024,18:00,,15
Travieso,9/8/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,9/8/2024,14:30,17:30,4
A Day In Paradise Boat Trip,9/8/2024,12:00,17:00,5
Eric Prydz presents [CELL] Closing Party,9/9/2024,23:30,7:00,12
Amnesia Presents,9/9/2024,23:00,,8
Hugel,9/9/2024,23:59,6:00,9
David Guetta presents F*** ME I'M FAMOUS!,9/9/2024,17:00,23:00,13
Worried About Henry,9/9/2024,23:59,,2
Ibiza Rocks Pool Party,9/9/2024,14:00,21:00,6
D4 D4NCE,9/9/2024,13:00,22:00,11
La Troya,9/9/2024,23:45,,3
You Know The Vibes,9/9/2024,23:45,6:00,7
Oceanbeat Ibiza Boat Party,9/9/2024,14:30,17:30,4
The Martinez Brothers,9/10/2024,23:30,7:00,12
The Masquerade by Claptone,9/10/2024,23:00,,8
CAMELPHAT,9/10/2024,23:59,6:00,9
Defected,9/10/2024,15:00,23:00,13
Craig David's TS5 Pool Party,9/10/2024,14:00,21:00,6
Kisstory,9/10/2024,13:00,22:00,11
Do Not Sleep,9/10/2024,19:00,5:00,18
Bubbles,9/10/2024,23:45,6:00,7
Blanche Ibiza,9/10/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,9/10/2024,14:30,17:30,4
Pukka Up Sunset Boat Party,9/10/2024,17:00,20:00,5
FISHER,9/11/2024,23:30,7:00,12
Paradise,9/11/2024,22:30,6:00,8
Saga,9/11/2024,23:59,6:00,9
Tomorrowland presents Dimitri Vegas & Like Mike,9/11/2024,17:00,23:00,13
One Night Stand,9/11/2024,23:59,,2
Joel Corry Pool Party,9/11/2024,14:00,21:00,6
House In Paradise,9/11/2024,13:00,22:00,11
Fuego,9/11/2024,23:45,6:00,7
Toy Room,9/11/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,9/11/2024,14:30,17:30,4
ZAMNA Ibiza,9/12/2024,23:00,,12
Bresh Closing Party,9/12/2024,23:59,,8
Pure Pacha,9/12/2024,23:59,6:00,9
Martin Garrix,9/12/2024,17:00,23:00,13
SHINE Ibiza,9/12/2024,23:59,,2
ON111,9/12/2024,13:00,22:00,11
Sven Väth presents Catharsis,9/12/2024,19:00,5:00,1
House of Zeus,9/12/2024,23:45,6:00,7
Bâzâr by Sasson,9/12/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,9/12/2024,14:30,17:30,4
Pukka Up Sunset Boat Party,9/12/2024,17:00,20:00,5
David Guetta & MORTEN present Future Rave,9/13/2024,23:30,7:00,12
Mathame present NEO,9/13/2024,23:00,,8
Music On,9/13/2024,23:59,7:00,9
Calvin Harris Closing Party,9/13/2024,17:00,23:00,13
Space at Eden,9/13/2024,23:59,,2
Ibiza Anthems Pool Party,9/13/2024,14:00,21:00,6
Pool Party | Cinomatic,9/13/2024,13:00,22:00,11
Pablo Fierro presents We're Here,9/13/2024,23:45,,3
Storytellers,9/13/2024,19:00,5:30,18
Puro Reggaeton,9/13/2024,23:45,6:00,7
RUMORS,9/13/2024,18:00,,15
Vintage,9/13/2024,23:59,5:00,17
Children of the 80s,9/13/2024,19:00,23:59,19
Oceanbeat Ibiza Boat Party,9/13/2024,14:30,17:30,4
A Day In Paradise Boat Trip,9/13/2024,12:00,17:00,5
Black Coffee,9/14/2024,23:30,7:00,12
elrow Ibiza | Psychrowdelic Trip,9/14/2024,23:00,,8
Flower Power,9/14/2024,23:59,6:00,9
ANTS,9/14/2024,15:00,23:00,13
LoveJuice Pool Party,9/14/2024,14:00,21:00,6
Soul Heaven,9/14/2024,13:00,22:00,11
TRIP,9/14/2024,23:45,,3
GOZO,9/14/2024,19:00,5:30,18
Fiesta del Agua,9/14/2024,23:45,6:00,7
Pandora,9/14/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,9/14/2024,14:30,17:30,4
Pukka Up Afternoon Boat Party,9/14/2024,14:00,17:00,5
Glitterbox,9/15/2024,23:30,7:00,12
Pyramid | fabriclondon,9/15/2024,23:00,,8
Solomun +1,9/15/2024,23:59,6:00,9
Armin van Buuren,9/15/2024,17:00,23:00,13
ABODE,9/15/2024,23:59,,2
Soundcloud Presents | Stack City Takeover,9/15/2024,14:00,21:00,6
KISS Dance Live,9/15/2024,13:00,22:00,11
Franky Wah presents SHÈN Ibiza,9/15/2024,23:45,6:00,3
Woomoon,9/15/2024,18:00,6:00,18
Dance Africa,9/15/2024,23:45,6:00,7
Palmarama,9/15/2024,18:00,,15
Travieso,9/15/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,9/15/2024,14:30,17:30,4
A Day In Paradise Boat Trip,9/15/2024,12:00,17:00,5
Amnesia Presents,9/16/2024,23:00,,8
Purple Disco Machine,9/16/2024,23:59,6:00,9
David Guetta presents F*** ME I'M FAMOUS!,9/16/2024,17:00,23:00,13
Worried About Henry,9/16/2024,23:59,,2
Ibiza Rocks Pool Party,9/16/2024,14:00,21:00,6
D4 D4NCE,9/16/2024,13:00,22:00,11
La Troya,9/16/2024,23:45,,3
You Know The Vibes,9/16/2024,23:45,6:00,7
Oceanbeat Ibiza Boat Party,9/16/2024,14:30,17:30,4
The Martinez Brothers,9/17/2024,23:30,7:00,12
The Masquerade by Claptone Closing Party,9/17/2024,23:00,,8
CAMELPHAT,9/17/2024,23:59,6:00,9
Defected,9/17/2024,15:00,23:00,13
Craig David's TS5 Pool Party,9/17/2024,14:00,21:00,6
Kisstory,9/17/2024,13:00,22:00,11
PIV Ibiza,9/17/2024,19:00,5:30,18
Bubbles,9/17/2024,23:45,6:00,7
Closing Blanche Ibiza,9/17/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,9/17/2024,14:30,17:30,4
Pukka Up Sunset Boat Party,9/17/2024,17:00,20:00,5
FISHER,9/18/2024,23:30,7:00,12
Paradise,9/18/2024,22:30,6:00,8
Saga,9/18/2024,23:59,6:00,9
Tomorrowland presents Dimitri Vegas & Like Mike,9/18/2024,17:00,23:00,13
One Night Stand Closing Party,9/18/2024,23:59,,2
Joel Corry Pool Party,9/18/2024,14:00,21:00,6
House In Paradise,9/18/2024,13:00,22:00,11
Fuego,9/18/2024,23:45,6:00,7
Toy Room,9/18/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,9/18/2024,14:30,17:30,4
Pure Pacha,9/19/2024,23:59,6:00,9
Martin Garrix,9/19/2024,17:00,23:00,13
SHINE Ibiza,9/19/2024,23:59,,2
ON111,9/19/2024,13:00,22:00,11
Cosmic Pineapple,9/19/2024,19:00,5:00,18
House of Zeus,9/19/2024,23:45,6:00,7
Bâzâr by Sasson,9/19/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,9/19/2024,14:30,17:30,4
Pukka Up Sunset Boat Party,9/19/2024,17:00,20:00,5
David Guetta & MORTEN present Future Rave,9/20/2024,23:30,7:00,12
Mathame present NEO,9/20/2024,23:00,,8
Music On,9/20/2024,23:59,7:00,9
Space at Eden,9/20/2024,23:59,,2
Ibiza Anthems Pool Party,9/20/2024,14:00,21:00,6
Pool Party | Cinomatic,9/20/2024,13:00,22:00,11
Pablo Fierro presents We're Here,9/20/2024,23:45,,3
Storytellers,9/20/2024,19:00,5:30,18
RUMORS,9/20/2024,18:00,,15
Vintage,9/20/2024,23:59,5:00,17
Children of the 80s,9/20/2024,19:00,23:59,19
Oceanbeat Ibiza Boat Party,9/20/2024,14:30,17:30,4
A Day In Paradise Boat Trip,9/20/2024,12:00,17:00,5
Black Coffee,9/21/2024,23:30,7:00,12
elrow Ibiza | Nowmads New World,9/21/2024,23:00,,8
Flower Power,9/21/2024,23:59,6:00,9
ANTS,9/21/2024,15:00,23:00,13
LoveJuice Pool Party,9/21/2024,14:00,21:00,6
Soul Heaven,9/21/2024,13:00,22:00,11
TRIP,9/21/2024,23:45,,3
Sacro by Mëstiza,9/21/2024,19:00,5:30,18
Fiesta del Agua,9/21/2024,23:45,6:00,7
Pandora,9/21/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,9/21/2024,14:30,17:30,4
Pukka Up Afternoon Boat Party,9/21/2024,14:00,17:00,5
Glitterbox,9/22/2024,23:30,7:00,12
Pyramid,9/22/2024,23:00,,8
Solomun +1,9/22/2024,23:59,6:00,9
Armin van Buuren,9/22/2024,17:00,23:00,13
ABODE,9/22/2024,23:59,,2
Soundcloud Presents | Nothing But Trouble Takeover,9/22/2024,14:00,21:00,6
SIN Sundays,9/22/2024,13:00,22:00,11
Franky Wah presents SHÈN Ibiza,9/22/2024,23:45,6:00,3
Woomoon,9/22/2024,18:00,6:00,18
Palmarama,9/22/2024,18:00,,15
Closing Travieso,9/22/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,9/22/2024,14:30,17:30,4
A Day In Paradise Boat Trip,9/22/2024,12:00,17:00,5
Amnesia Presents,9/23/2024,23:00,,8
David Guetta presents F*** ME I'M FAMOUS!,9/23/2024,17:00,23:00,13
Worried About Henry,9/23/2024,23:59,,2
Ibiza Rocks Pool Party,9/23/2024,14:00,21:00,6
D4 D4NCE,9/23/2024,13:00,22:00,11
La Troya,9/23/2024,23:45,,3
You Know The Vibes,9/23/2024,23:45,6:00,7
Oceanbeat Ibiza Boat Party,9/23/2024,14:30,17:30,4
The Martinez Brothers Closing Party,9/24/2024,23:30,7:00,12
The Kevin & Perry Experience,9/24/2024,23:00,,8
CAMELPHAT,9/24/2024,23:59,6:00,9
Defected,9/24/2024,15:00,23:00,13
Craig David's TS5 Closing Party,9/24/2024,14:00,21:00,6
Kisstory,9/24/2024,13:00,22:00,11
Bubbles,9/24/2024,23:45,6:00,7
Oceanbeat Ibiza Boat Party,9/24/2024,14:30,17:30,4
Pukka Up Sunset Boat Party,9/24/2024,17:00,20:00,5
FISHER,9/25/2024,23:30,7:00,12
Paradise,9/25/2024,22:30,6:00,8
Saga,9/25/2024,23:59,6:00,9
Tomorrowland presents Dimitri Vegas & Like Mike Closing Party,9/25/2024,17:00,23:00,13
Joel Corry Closing Party,9/25/2024,14:00,21:00,6
House In Paradise,9/25/2024,13:00,22:00,11
Fuego,9/25/2024,23:45,6:00,7
Toy Room,9/25/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,9/25/2024,14:30,17:30,4
Pure Pacha,9/26/2024,23:59,6:00,9
Martin Garrix Closing Party,9/26/2024,17:00,23:00,13
SHINE Ibiza Closing Party,9/26/2024,23:59,,2
ON111,9/26/2024,13:00,22:00,11
House of Zeus Closing Party,9/26/2024,23:45,6:00,7
Bâzâr by Sasson,9/26/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,9/26/2024,14:30,17:30,4
David Guetta & MORTEN present Future Rave,9/27/2024,23:30,7:00,12
Mathame present NEO Closing Party,9/27/2024,23:00,,8
Music On,9/27/2024,23:59,7:00,9
Space at Eden,9/27/2024,23:59,,2
Ibiza Anthems Closing Party,9/27/2024,14:00,21:00,6
Pool Party | Cinomatic,9/27/2024,13:00,22:00,11
Pablo Fierro presents We're Here,9/27/2024,23:45,,3
UTOPIC,9/27/2024,19:00,6:00,18
Puro Reggaeton Closing Party,9/27/2024,23:45,6:00,7
RUMORS,9/27/2024,18:00,,15
Vintage,9/27/2024,23:59,5:00,17
Children of the 80s,9/27/2024,19:00,23:59,19
Oceanbeat Ibiza Boat Party,9/27/2024,14:30,17:30,4
A Day In Paradise Boat Trip,9/27/2024,12:00,17:00,5
Black Coffee,9/28/2024,23:30,7:00,12
elrow Ibiza Closing Party | New Theme TBA,9/28/2024,23:00,,8
Flower Power,9/28/2024,23:59,6:00,9
ANTS,9/28/2024,15:00,23:00,13
Clubland,9/28/2024,23:59,,2
LoveJuice Closing Party,9/28/2024,14:00,21:00,6
Soul Heaven,9/28/2024,13:00,22:00,11
TRIP,9/28/2024,23:45,,3
Fiesta del Agua,9/28/2024,23:45,6:00,7
Pandora,9/28/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,9/28/2024,14:30,17:30,4
Pukka Up Afternoon Boat Party,9/28/2024,14:00,17:00,5
Glitterbox,9/29/2024,23:30,7:00,12
Pyramid | Junction 2,9/29/2024,23:00,,8
Solomun +1,9/29/2024,23:59,6:00,9
Armin van Buuren,9/29/2024,17:00,23:00,13
ABODE Closing Party,9/29/2024,23:59,,2
Soundcloud Presents Pool Party,9/29/2024,14:00,21:00,6
Ibiza Spray,9/29/2024,13:00,23:00,11
Franky Wah presents SHÈN Ibiza Closing Party,9/29/2024,23:45,6:00,3
Woomoon,9/29/2024,18:00,6:00,18
Dance Africa,9/29/2024,23:45,6:00,7
Palmarama,9/29/2024,18:00,,15
Oceanbeat Ibiza Boat Party,9/29/2024,14:30,17:30,4
A Day In Paradise Boat Trip,9/29/2024,12:00,17:00,5
Amnesia Presents Closing Party,9/30/2024,23:00,,8
Diplo,9/30/2024,23:59,6:00,9
David Guetta presents F*** ME I'M FAMOUS!,9/30/2024,17:00,23:00,13
Worried About Henry Closing Party,9/30/2024,23:59,,2
D4 D4NCE Closing Party,9/30/2024,13:00,22:00,11
La Troya Closing Party,9/30/2024,23:45,,3
You Know The Vibes Closing Party,9/30/2024,23:45,6:00,7
Oceanbeat Ibiza Boat Party,9/30/2024,14:30,17:30,4
CAMELPHAT Closing Party,10/1/2024,23:59,6:00,9
Defected Closing Party,10/1/2024,15:00,23:00,13
Kisstory,10/1/2024,13:00,22:00,11
Oceanbeat Ibiza Boat Party,10/1/2024,14:30,17:30,4
FISHER Closing Party,10/2/2024,23:30,7:00,12
Paradise Closing Party,10/2/2024,21:00,6:00,8
Saga Closing Party,10/2/2024,23:59,6:00,9
House In Paradise Closing Party,10/2/2024,13:00,22:00,11
Closing Toy Room,10/2/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,10/2/2024,14:30,17:30,4
Tale Of Us present Afterlife Closing Party | Night,10/3/2024,23:00,7:00,12
Pure Pacha Closing Party,10/3/2024,23:59,6:00,9
Tale Of Us present Afterlife Closing Party | Daytime,10/3/2024,16:00,23:00,13
ON111 Closing Party,10/3/2024,13:00,22:00,11
Sven Väth presents Catharsis Closing Party,10/3/2024,19:00,5:00,1
Do Not Sleep,10/3/2024,19:00,5:00,18
Closing Bâzâr by Sasson,10/3/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,10/3/2024,14:30,17:30,4
David Guetta & MORTEN present Future Rave Closing Party,10/4/2024,23:30,7:00,12
Music On,10/4/2024,23:59,7:00,9
Space at Eden Closing Party,10/4/2024,23:59,,2
Ibiza Rocks Closing Party,10/4/2024,14:00,21:00,6
Pool Party | Cinomatic,10/4/2024,13:00,22:00,11
Pablo Fierro presents We're Here,10/4/2024,23:45,,3
GOZO,10/4/2024,19:00,5:30,18
RUMORS,10/4/2024,18:00,,15
Closing Vintage,10/4/2024,23:59,5:00,17
Children of the 80s Closing Party,10/4/2024,19:00,23:59,19
Oceanbeat Ibiza Boat Party,10/4/2024,14:30,17:30,4
Black Coffee Closing Party,10/5/2024,23:30,7:00,12
Flower Power Closing Party,10/5/2024,23:59,6:00,9
ANTS Closing Party,10/5/2024,15:00,23:00,13
Soul Heaven Closing Party,10/5/2024,13:00,22:00,11
TRIP,10/5/2024,23:45,,3
Sacro by Mëstiza,10/5/2024,19:00,5:30,18
Closing Pandora,10/5/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,10/5/2024,14:30,17:30,4
Glitterbox Closing Party,10/6/2024,23:30,7:00,12
Pyramid Closing Party,10/6/2024,23:00,,8
Solomun +1 Closing Party,10/6/2024,23:59,6:00,9
Kinky Malinki,10/6/2024,13:00,22:00,11
Woomoon Closing Party,10/6/2024,18:00,6:00,18
Palmarama,10/6/2024,18:00,,15
Closing TBC,10/6/2024,23:59,5:00,17
Oceanbeat Ibiza Boat Party,10/6/2024,14:30,17:30,4
David Guetta presents F*** ME I'M FAMOUS! Closing Party,10/7/2024,17:00,23:00,13
You Know The Vibes | Extra Time,10/7/2024,23:45,6:00,7
Kisstory Closing Party,10/8/2024,13:00,22:00,11
Formentera With Benefits at Ibiza Boat Club,10/9/2024,10:30,21:00,4
Music On Closing Party | Part One,10/10/2024,23:59,7:00,9
Music On Closing Party | Part Two,10/11/2024,23:59,7:00,9
Pool Party Closing Party,10/11/2024,13:00,22:00,11
Pablo Fierro presents We're Here Closing Party,10/11/2024,23:45,,3
Hernán Cattáneo,10/11/2024,19:00,5:00,1
Formentera With Benefits at Ibiza Boat Club,10/11/2024,10:30,21:00,4
Hï Ibiza Closing Party 2024 curated by KEINEMUSIK,10/12/2024,23:00,,12
Boat Club,10/12/2024,13:00,22:00,11
Formentera With Benefits at Ibiza Boat Club,10/12/2024,10:30,21:00,4
Pacha's Grand Closing Party | Peggy Gou,10/13/2024,23:59,6:00,9
O Beach Closing Party,10/13/2024,13:00,22:00,11
Formentera With Benefits at Ibiza Boat Club,10/13/2024,10:30,21:00,4
You Know The Vibes | Extra Time,10/14/2024,23:45,6:00,7
Formentera With Benefits at Ibiza Boat Club,10/16/2024,10:30,21:00,4
TRIP,10/19/2024,23:45,,3
Formentera With Benefits at Ibiza Boat Club,10/19/2024,10:30,21:00,4
You Know The Vibes | Extra Time,10/21/2024,23:45,6:00,7
TRIP,10/26/2024,23:45,,3
You Know The Vibes | Extra Time,10/28/2024,23:45,6:00,7
